"Notes"	"State"	"State Code"	"Year of Death"	"Year of Death Code"	"Mother's Education"	"Mother's Education Code"	Deaths	Births	Death Rate
	"Alabama"	"01"	"2007"	"2007"	"Excluded"	"Exc"	644	64804	9.94
	"Alabama"	"01"	"2008"	"2008"	"Excluded"	"Exc"	611	64546	9.47
	"Alabama"	"01"	"2009"	"2009"	"Excluded"	"Exc"	517	62475	8.28
	"Alabama"	"01"	"2010"	"2010"	"Excluded"	"Exc"	524	60050	8.73
	"Alabama"	"01"	"2011"	"2011"	"Excluded"	"Exc"	488	59354	8.22
	"Alabama"	"01"	"2012"	"2012"	"Excluded"	"Exc"	519	58448	8.88
	"Alabama"	"01"	"2013"	"2013"	"Excluded"	"Exc"	500	58167	8.60
	"Alabama"	"01"	"2014"	"2014"	"8th grade or less"	"1"	13	2054	6.33 (Unreliable)
	"Alabama"	"01"	"2014"	"2014"	"9th through 12th grade with no diploma"	"2"	69	7598	9.08
	"Alabama"	"01"	"2014"	"2014"	"High school graduate or GED completed"	"3"	166	18187	9.13
	"Alabama"	"01"	"2014"	"2014"	"Some college credit, but not a degree"	"4"	89	12937	6.88
	"Alabama"	"01"	"2014"	"2014"	"Associate degree (AA, AS)"	"5"	23	4664	4.93
	"Alabama"	"01"	"2014"	"2014"	"Bachelor's degree (BA, AB, BS)"	"6"	44	9092	4.84
	"Alabama"	"01"	"2014"	"2014"	"Master's degree (MA, MS, MEng, MEd, MSW, MBA)"	"7"	17	3695	4.60 (Unreliable)
	"Alabama"	"01"	"2014"	"2014"	"Doctorate (PhD, EdD) or Professional Degree (MD, DDS, DVM, LLB, JD)"	"8"	Suppressed	1016	Suppressed
	"Alabama"	"01"	"2014"	"2014"	"Unknown or Not Stated"	"Unk"	Suppressed	178	Suppressed
	"Alabama"	"01"	"2014"	"2014"	"Excluded"	"Exc"	85	Suppressed	Suppressed
	"Alabama"	"01"	"2015"	"2015"	"8th grade or less"	"1"	Suppressed	2154	Suppressed
	"Alabama"	"01"	"2015"	"2015"	"9th through 12th grade with no diploma"	"2"	98	7302	13.42
	"Alabama"	"01"	"2015"	"2015"	"High school graduate or GED completed"	"3"	171	18284	9.35
	"Alabama"	"01"	"2015"	"2015"	"Some college credit, but not a degree"	"4"	123	13182	9.33
	"Alabama"	"01"	"2015"	"2015"	"Associate degree (AA, AS)"	"5"	26	4781	5.44
	"Alabama"	"01"	"2015"	"2015"	"Bachelor's degree (BA, AB, BS)"	"6"	45	9013	4.99
	"Alabama"	"01"	"2015"	"2015"	"Master's degree (MA, MS, MEng, MEd, MSW, MBA)"	"7"	15	3756	3.99 (Unreliable)
	"Alabama"	"01"	"2015"	"2015"	"Doctorate (PhD, EdD) or Professional Degree (MD, DDS, DVM, LLB, JD)"	"8"	Suppressed	1034	Suppressed
	"Alabama"	"01"	"2015"	"2015"	"Unknown or Not Stated"	"Unk"	Suppressed	151	Suppressed
	"Alabama"	"01"	"2016"	"2016"	"8th grade or less"	"1"	17	2240	7.59 (Unreliable)
	"Alabama"	"01"	"2016"	"2016"	"9th through 12th grade with no diploma"	"2"	101	7093	14.24
	"Alabama"	"01"	"2016"	"2016"	"High school graduate or GED completed"	"3"	177	18061	9.80
	"Alabama"	"01"	"2016"	"2016"	"Some college credit, but not a degree"	"4"	115	12969	8.87
	"Alabama"	"01"	"2016"	"2016"	"Associate degree (AA, AS)"	"5"	34	4687	7.25
	"Alabama"	"01"	"2016"	"2016"	"Bachelor's degree (BA, AB, BS)"	"6"	52	9098	5.72
	"Alabama"	"01"	"2016"	"2016"	"Master's degree (MA, MS, MEng, MEd, MSW, MBA)"	"7"	21	3884	5.41
	"Alabama"	"01"	"2016"	"2016"	"Doctorate (PhD, EdD) or Professional Degree (MD, DDS, DVM, LLB, JD)"	"8"	11	998	11.02 (Unreliable)
	"Alabama"	"01"	"2016"	"2016"	"Unknown or Not Stated"	"Unk"	Suppressed	121	Suppressed
	"Alabama"	"01"	"2017"	"2017"	"8th grade or less"	"1"	19	1990	9.55 (Unreliable)
	"Alabama"	"01"	"2017"	"2017"	"9th through 12th grade with no diploma"	"2"	63	6628	9.51
	"Alabama"	"01"	"2017"	"2017"	"High school graduate or GED completed"	"3"	161	18365	8.77
	"Alabama"	"01"	"2017"	"2017"	"Some college credit, but not a degree"	"4"	105	13035	8.06
	"Alabama"	"01"	"2017"	"2017"	"Associate degree (AA, AS)"	"5"	17	4857	3.50 (Unreliable)
	"Alabama"	"01"	"2017"	"2017"	"Bachelor's degree (BA, AB, BS)"	"6"	50	8959	5.58
	"Alabama"	"01"	"2017"	"2017"	"Master's degree (MA, MS, MEng, MEd, MSW, MBA)"	"7"	12	3821	3.14 (Unreliable)
	"Alabama"	"01"	"2017"	"2017"	"Doctorate (PhD, EdD) or Professional Degree (MD, DDS, DVM, LLB, JD)"	"8"	Suppressed	1139	Suppressed
	"Alabama"	"01"	"2017"	"2017"	"Unknown or Not Stated"	"Unk"	Suppressed	147	Suppressed
	"Alabama"	"01"	"2018"	"2018"	"8th grade or less"	"1"	10	1856	5.39 (Unreliable)
	"Alabama"	"01"	"2018"	"2018"	"9th through 12th grade with no diploma"	"2"	62	6169	10.05
	"Alabama"	"01"	"2018"	"2018"	"High school graduate or GED completed"	"3"	165	18306	9.01
	"Alabama"	"01"	"2018"	"2018"	"Some college credit, but not a degree"	"4"	81	12493	6.48
	"Alabama"	"01"	"2018"	"2018"	"Associate degree (AA, AS)"	"5"	22	5034	4.37
	"Alabama"	"01"	"2018"	"2018"	"Bachelor's degree (BA, AB, BS)"	"6"	33	8833	3.74
	"Alabama"	"01"	"2018"	"2018"	"Master's degree (MA, MS, MEng, MEd, MSW, MBA)"	"7"	21	3857	5.44
	"Alabama"	"01"	"2018"	"2018"	"Doctorate (PhD, EdD) or Professional Degree (MD, DDS, DVM, LLB, JD)"	"8"	Suppressed	1101	Suppressed
	"Alabama"	"01"	"2018"	"2018"	"Unknown or Not Stated"	"Unk"	Suppressed	112	Suppressed
	"Alabama"	"01"	"2019"	"2019"	"8th grade or less"	"1"	19	2350	8.09 (Unreliable)
	"Alabama"	"01"	"2019"	"2019"	"9th through 12th grade with no diploma"	"2"	59	5855	10.08
	"Alabama"	"01"	"2019"	"2019"	"High school graduate or GED completed"	"3"	181	18887	9.58
