"Notes"	"State of Residence"	"State of Residence Code"	"Year"	"Year Code"	"Age of Mother 9"	"Age of Mother 9 Code"	"Births"	"Female Population"	"Fertility Rate"
	"Alabama"	"01"	"2016"	"2016"	"Under 15 years"	"15"	48	Not Available	Not Available
	"Alabama"	"01"	"2016"	"2016"	"15-19 years"	"15-19"	4480	158008	28.35
	"Alabama"	"01"	"2016"	"2016"	"20-24 years"	"20-24"	16066	165297	97.19
	"Alabama"	"01"	"2016"	"2016"	"25-29 years"	"25-29"	18649	167746	111.17
	"Alabama"	"01"	"2016"	"2016"	"30-34 years"	"30-34"	13440	155897	86.21
	"Alabama"	"01"	"2016"	"2016"	"35-39 years"	"35-39"	5505	154460	35.64
	"Alabama"	"01"	"2016"	"2016"	"40-44 years"	"40-44"	924	151388	6.10
	"Alabama"	"01"	"2016"	"2016"	"45-49 years"	"45-49"	34	Not Available	Not Available
	"Alabama"	"01"	"2017"	"2017"	"Under 15 years"	"15"	44	Not Available	Not Available
	"Alabama"	"01"	"2017"	"2017"	"15-19 years"	"15-19"	4241	157072	27.00
	"Alabama"	"01"	"2017"	"2017"	"20-24 years"	"20-24"	15780	163231	96.67
	"Alabama"	"01"	"2017"	"2017"	"25-29 years"	"25-29"	18774	170408	110.17
	"Alabama"	"01"	"2017"	"2017"	"30-34 years"	"30-34"	13425	154552	86.86
	"Alabama"	"01"	"2017"	"2017"	"35-39 years"	"35-39"	5647	155256	36.37
	"Alabama"	"01"	"2017"	"2017"	"40-44 years"	"40-44"	976	149430	6.53
	"Alabama"	"01"	"2017"	"2017"	"45-49 years"	"45-49"	47	Not Available	Not Available
	"Alabama"	"01"	"2018"	"2018"	"Under 15 years"	"15"	38	Not Available	Not Available
	"Alabama"	"01"	"2018"	"2018"	"15-19 years"	"15-19"	3924	155697	25.20
	"Alabama"	"01"	"2018"	"2018"	"20-24 years"	"20-24"	15268	161564	94.50
	"Alabama"	"01"	"2018"	"2018"	"25-29 years"	"25-29"	18348	170662	107.51
	"Alabama"	"01"	"2018"	"2018"	"30-34 years"	"30-34"	13422	155481	86.33
	"Alabama"	"01"	"2018"	"2018"	"35-39 years"	"35-39"	5673	156327	36.29
	"Alabama"	"01"	"2018"	"2018"	"40-44 years"	"40-44"	1023	149037	6.86
	"Alabama"	"01"	"2018"	"2018"	"45-49 years"	"45-49"	56	Not Available	Not Available
	"Alabama"	"01"	"2019"	"2019"	"Under 15 years"	"15"	47	Not Available	Not Available
	"Alabama"	"01"	"2019"	"2019"	"15-19 years"	"15-19"	3955	154529	25.59
	"Alabama"	"01"	"2019"	"2019"	"20-24 years"	"20-24"	15279	160699	95.08
	"Alabama"	"01"	"2019"	"2019"	"25-29 years"	"25-29"	18662	169504	110.10
	"Alabama"	"01"	"2019"	"2019"	"30-34 years"	"30-34"	13777	157860	87.27
	"Alabama"	"01"	"2019"	"2019"	"35-39 years"	"35-39"	5782	156924	36.85
	"Alabama"	"01"	"2019"	"2019"	"40-44 years"	"40-44"	1047	149802	6.99
	"Alabama"	"01"	"2019"	"2019"	"45-49 years"	"45-49"	63	Not Available	Not Available
	"Alabama"	"01"	"2020"	"2020"	"Under 15 years"	"15"	50	Not Available	Not Available
	"Alabama"	"01"	"2020"	"2020"	"15-19 years"	"15-19"	3788	152853	24.78
	"Alabama"	"01"	"2020"	"2020"	"20-24 years"	"20-24"	14578	161467	90.28
	"Alabama"	"01"	"2020"	"2020"	"25-29 years"	"25-29"	18218	166063	109.71
	"Alabama"	"01"	"2020"	"2020"	"30-34 years"	"30-34"	13890	162534	85.46
	"Alabama"	"01"	"2020"	"2020"	"35-39 years"	"35-39"	5938	156516	37.94
	"Alabama"	"01"	"2020"	"2020"	"40-44 years"	"40-44"	1120	152182	7.36
	"Alabama"	"01"	"2020"	"2020"	"45-49 years"	"45-49"	60	Not Available	Not Available
	"Alabama"	"01"	"2021"	"2021"	"Under 15 years"	"15"	59	Not Available	Not Available
	"Alabama"	"01"	"2021"	"2021"	"15-19 years"	"15-19"	3641	159313	22.85
	"Alabama"	"01"	"2021"	"2021"	"20-24 years"	"20-24"	14387	164940	87.23
	"Alabama"	"01"	"2021"	"2021"	"25-29 years"	"25-29"	18179	162974	111.55
	"Alabama"	"01"	"2021"	"2021"	"30-34 years"	"30-34"	14442	169551	85.18
	"Alabama"	"01"	"2021"	"2021"	"35-39 years"	"35-39"	6124	160798	38.09
	"Alabama"	"01"	"2021"	"2021"	"40-44 years"	"40-44"	1159	158824	7.30
	"Alabama"	"01"	"2021"	"2021"	"45-49 years"	"45-49"	58	Not Available	Not Available
	"Alabama"	"01"	"2022"	"2022"	"Under 15 years"	"15"	49	Not Available	Not Available
	"Alabama"	"01"	"2022"	"2022"	"15-19 years"	"15-19"	3445	164579	20.93
	"Alabama"	"01"	"2022"	"2022"	"20-24 years"	"20-24"	14113	177437	79.54
	"Alabama"	"01"	"2022"	"2022"	"25-29 years"	"25-29"	18274	159856	114.32
	"Alabama"	"01"	"2022"	"2022"	"30-34 years"	"30-34"	14673	170924	85.85
	"Alabama"	"01"	"2022"	"2022"	"35-39 years"	"35-39"	6304	159304	39.57
	"Alabama"	"01"	"2022"	"2022"	"40-44 years"	"40-44"	1216	158998	7.65
	"Alabama"	"01"	"2022"	"2022"	"45-49 years"	"45-49"	71	Not Available	Not Available
	"Alaska"	"02"	"2016"	"2016"	"15-19 years"	"15-19"	583	22610	25.79
	"Alaska"	"02"	"2016"	"2016"	"20-24 years"	"20-24"	2563	24554	104.38
	"Alaska"	"02"	"2016"	"2016"	"25-29 years"	"25-29"	3546	29138	121.70
	"Alaska"	"02"	"2016"	"2016"	"30-34 years"	"30-34"	2965	27219	108.93
	"Alaska"	"02"	"2016"	"2016"	"35-39 years"	"35-39"	1299	23413	55.48
	"Alaska"	"02"	"2016"	"2016"	"40-44 years"	"40-44"	226	20437	11.06
	"Alaska"	"02"	"2016"	"2016"	"45-49 years"	"45-49"	18	Not Available	Not Available
	"Alaska"	"02"	"2017"	"2017"	"15-19 years"	"15-19"	486	22093	22.00
	"Alaska"	"02"	"2017"	"2017"	"20-24 years"	"20-24"	2259	23268	97.09
	"Alaska"	"02"	"2017"	"2017"	"25-29 years"	"25-29"	3369	29020	116.09
	"Alaska"	"02"	"2017"	"2017"	"30-34 years"	"30-34"	2735	27136	100.79
	"Alaska"	"02"	"2017"	"2017"	"35-39 years"	"35-39"	1303	24136	53.99
	"Alaska"	"02"	"2017"	"2017"	"40-44 years"	"40-44"	266	20419	13.03
	"Alaska"	"02"	"2017"	"2017"	"45-49 years"	"45-49"	20	Not Available	Not Available
	"Alaska"	"02"	"2018"	"2018"	"15-19 years"	"15-19"	423	21956	19.27
	"Alaska"	"02"	"2018"	"2018"	"20-24 years"	"20-24"	2182	22645	96.36
	"Alaska"	"02"	"2018"	"2018"	"25-29 years"	"25-29"	3140	28568	109.91
	"Alaska"	"02"	"2018"	"2018"	"30-34 years"	"30-34"	2767	27195	101.75
	"Alaska"	"02"	"2018"	"2018"	"35-39 years"	"35-39"	1304	24729	52.73
	"Alaska"	"02"	"2018"	"2018"	"40-44 years"	"40-44"	256	20496	12.49
	"Alaska"	"02"	"2019"	"2019"	"15-19 years"	"15-19"	393	21516	18.27
	"Alaska"	"02"	"2019"	"2019"	"20-24 years"	"20-24"	2053	21903	93.73
	"Alaska"	"02"	"2019"	"2019"	"25-29 years"	"25-29"	3084	27969	110.26
	"Alaska"	"02"	"2019"	"2019"	"30-34 years"	"30-34"	2628	27114	96.92
	"Alaska"	"02"	"2019"	"2019"	"35-39 years"	"35-39"	1356	25103	54.02
	"Alaska"	"02"	"2019"	"2019"	"40-44 years"	"40-44"	287	20697	13.87
	"Alaska"	"02"	"2019"	"2019"	"45-49 years"	"45-49"	17	Not Available	Not Available
	"Alaska"	"02"	"2020"	"2020"	"15-19 years"	"15-19"	378	21388	17.67
	"Alaska"	"02"	"2020"	"2020"	"20-24 years"	"20-24"	1954	21452	91.09
	"Alaska"	"02"	"2020"	"2020"	"25-29 years"	"25-29"	2896	26770	108.18
	"Alaska"	"02"	"2020"	"2020"	"30-34 years"	"30-34"	2629	27571	95.35
	"Alaska"	"02"	"2020"	"2020"	"35-39 years"	"35-39"	1326	25658	51.68
	"Alaska"	"02"	"2020"	"2020"	"40-44 years"	"40-44"	267	21223	12.58
	"Alaska"	"02"	"2020"	"2020"	"45-49 years"	"45-49"	13	Not Available	Not Available
	"Alaska"	"02"	"2021"	"2021"	"15-19 years"	"15-19"	378	21611	17.49
	"Alaska"	"02"	"2021"	"2021"	"20-24 years"	"20-24"	1933	21417	90.26
	"Alaska"	"02"	"2021"	"2021"	"25-29 years"	"25-29"	2749	25451	108.01
	"Alaska"	"02"	"2021"	"2021"	"30-34 years"	"30-34"	2616	27778	94.18
	"Alaska"	"02"	"2021"	"2021"	"35-39 years"	"35-39"	1382	26027	53.10
	"Alaska"	"02"	"2021"	"2021"	"40-44 years"	"40-44"	292	21991	13.28
	"Alaska"	"02"	"2021"	"2021"	"45-49 years"	"45-49"	16	Not Available	Not Available
	"Alaska"	"02"	"2022"	"2022"	"15-19 years"	"15-19"	357	21153	16.88
	"Alaska"	"02"	"2022"	"2022"	"20-24 years"	"20-24"	1908	22223	85.86
	"Alaska"	"02"	"2022"	"2022"	"25-29 years"	"25-29"	2676	24441	109.49
	"Alaska"	"02"	"2022"	"2022"	"30-34 years"	"30-34"	2684	27959	96.00
	"Alaska"	"02"	"2022"	"2022"	"35-39 years"	"35-39"	1410	25961	54.31
	"Alaska"	"02"	"2022"	"2022"	"40-44 years"	"40-44"	306	22484	13.61
	"Alaska"	"02"	"2022"	"2022"	"45-49 years"	"45-49"	11	Not Available	Not Available
	"Arizona"	"04"	"2016"	"2016"	"Under 15 years"	"15"	55	Not Available	Not Available
	"Arizona"	"04"	"2016"	"2016"	"15-19 years"	"15-19"	5357	227424	23.56
	"Arizona"	"04"	"2016"	"2016"	"20-24 years"	"20-24"	19868	232517	85.45
	"Arizona"	"04"	"2016"	"2016"	"25-29 years"	"25-29"	25381	233270	108.81
	"Arizona"	"04"	"2016"	"2016"	"30-34 years"	"30-34"	21410	217763	98.32
	"Arizona"	"04"	"2016"	"2016"	"35-39 years"	"35-39"	10192	213963	47.63
	"Arizona"	"04"	"2016"	"2016"	"40-44 years"	"40-44"	2108	205431	10.26
	"Arizona"	"04"	"2016"	"2016"	"45-49 years"	"45-49"	141	Not Available	Not Available
	"Arizona"	"04"	"2017"	"2017"	"Under 15 years"	"15"	36	Not Available	Not Available
	"Arizona"	"04"	"2017"	"2017"	"15-19 years"	"15-19"	5025	228331	22.01
	"Arizona"	"04"	"2017"	"2017"	"20-24 years"	"20-24"	18551	231880	80.00
	"Arizona"	"04"	"2017"	"2017"	"25-29 years"	"25-29"	24850	240414	103.36
	"Arizona"	"04"	"2017"	"2017"	"30-34 years"	"30-34"	20796	220283	94.41
	"Arizona"	"04"	"2017"	"2017"	"35-39 years"	"35-39"	10257	218635	46.91
	"Arizona"	"04"	"2017"	"2017"	"40-44 years"	"40-44"	2179	206221	10.57
	"Arizona"	"04"	"2017"	"2017"	"45-49 years"	"45-49"	168	Not Available	Not Available
	"Arizona"	"04"	"2017"	"2017"	"50 years and over"	"50+"	10	Not Available	Not Available
	"Arizona"	"04"	"2018"	"2018"	"Under 15 years"	"15"	30	Not Available	Not Available
	"Arizona"	"04"	"2018"	"2018"	"15-19 years"	"15-19"	4650	231635	20.07
	"Arizona"	"04"	"2018"	"2018"	"20-24 years"	"20-24"	17877	236024	75.74
	"Arizona"	"04"	"2018"	"2018"	"25-29 years"	"25-29"	24370	248857	97.93
	"Arizona"	"04"	"2018"	"2018"	"30-34 years"	"30-34"	20787	225624	92.13
	"Arizona"	"04"	"2018"	"2018"	"35-39 years"	"35-39"	10544	225128	46.84
	"Arizona"	"04"	"2018"	"2018"	"40-44 years"	"40-44"	2289	209830	10.91
	"Arizona"	"04"	"2018"	"2018"	"45-49 years"	"45-49"	163	Not Available	Not Available
	"Arizona"	"04"	"2018"	"2018"	"50 years and over"	"50+"	13	Not Available	Not Available
	"Arizona"	"04"	"2019"	"2019"	"Under 15 years"	"15"	37	Not Available	Not Available
	"Arizona"	"04"	"2019"	"2019"	"15-19 years"	"15-19"	4318	233494	18.49
	"Arizona"	"04"	"2019"	"2019"	"20-24 years"	"20-24"	16913	238938	70.78
	"Arizona"	"04"	"2019"	"2019"	"25-29 years"	"25-29"	24378	252373	96.60
	"Arizona"	"04"	"2019"	"2019"	"30-34 years"	"30-34"	20886	231907	90.06
	"Arizona"	"04"	"2019"	"2019"	"35-39 years"	"35-39"	10460	228707	45.74
	"Arizona"	"04"	"2019"	"2019"	"40-44 years"	"40-44"	2228	213339	10.44
	"Arizona"	"04"	"2019"	"2019"	"45-49 years"	"45-49"	141	Not Available	Not Available
	"Arizona"	"04"	"2019"	"2019"	"50 years and over"	"50+"	14	Not Available	Not Available
	"Arizona"	"04"	"2020"	"2020"	"Under 15 years"	"15"	28	Not Available	Not Available
	"Arizona"	"04"	"2020"	"2020"	"15-19 years"	"15-19"	3916	235489	16.63
	"Arizona"	"04"	"2020"	"2020"	"20-24 years"	"20-24"	16069	244221	65.80
	"Arizona"	"04"	"2020"	"2020"	"25-29 years"	"25-29"	23223	254140	91.38
	"Arizona"	"04"	"2020"	"2020"	"30-34 years"	"30-34"	20991	241683	86.85
	"Arizona"	"04"	"2020"	"2020"	"35-39 years"	"35-39"	10360	231376	44.78
	"Arizona"	"04"	"2020"	"2020"	"40-44 years"	"40-44"	2227	218994	10.17
	"Arizona"	"04"	"2020"	"2020"	"45-49 years"	"45-49"	122	Not Available	Not Available
	"Arizona"	"04"	"2020"	"2020"	"50 years and over"	"50+"	11	Not Available	Not Available
	"Arizona"	"04"	"2021"	"2021"	"Under 15 years"	"15"	44	Not Available	Not Available
	"Arizona"	"04"	"2021"	"2021"	"15-19 years"	"15-19"	3551	235502	15.08
	"Arizona"	"04"	"2021"	"2021"	"20-24 years"	"20-24"	15720	238874	65.81
	"Arizona"	"04"	"2021"	"2021"	"25-29 years"	"25-29"	23672	242715	97.53
	"Arizona"	"04"	"2021"	"2021"	"30-34 years"	"30-34"	21817	240794	90.60
	"Arizona"	"04"	"2021"	"2021"	"35-39 years"	"35-39"	10648	227728	46.76
	"Arizona"	"04"	"2021"	"2021"	"40-44 years"	"40-44"	2309	218997	10.54
	"Arizona"	"04"	"2021"	"2021"	"45-49 years"	"45-49"	140	Not Available	Not Available
	"Arizona"	"04"	"2021"	"2021"	"50 years and over"	"50+"	15	Not Available	Not Available
	"Arizona"	"04"	"2022"	"2022"	"Under 15 years"	"15"	34	Not Available	Not Available
	"Arizona"	"04"	"2022"	"2022"	"15-19 years"	"15-19"	3558	236217	15.06
	"Arizona"	"04"	"2022"	"2022"	"20-24 years"	"20-24"	15380	255065	60.30
	"Arizona"	"04"	"2022"	"2022"	"25-29 years"	"25-29"	23638	243363	97.13
	"Arizona"	"04"	"2022"	"2022"	"30-34 years"	"30-34"	22432	245872	91.23
	"Arizona"	"04"	"2022"	"2022"	"35-39 years"	"35-39"	10889	227192	47.93
	"Arizona"	"04"	"2022"	"2022"	"40-44 years"	"40-44"	2447	221956	11.02
