"Notes"	"State of Residence"	"State of Residence Code"	"Age of Mother 10"	"Age of Mother 10 Code"	"Year"	"Year Code"	"Mother's Education"	"Mother's Education ""Code"	"Births"""
	"Alabama"	"01"	"Under 15 years"	"15-"	"2016"	"2016"	"8th grade or ""less"	"1"	33""
	"Alabama"	"01"	"Under 15 years"	"15-"	"2016"	"2016"	"9th through 12th grade with no ""diploma"	"2"	15""
	"Alabama"	"01"	"Under 15 years"	"15-"	"2017"	"2017"	"8th grade or ""less"	"1"	37""
	"Alabama"	"01"	"Under 15 years"	"15-"	"2018"	"2018"	"8th grade or ""less"	"1"	28""
	"Alabama"	"01"	"Under 15 years"	"15-"	"2018"	"2018"	"9th through 12th grade with no ""diploma"	"2"	10""
	"Alabama"	"01"	"Under 15 years"	"15-"	"2019"	"2019"	"8th grade or ""less"	"1"	34""
	"Alabama"	"01"	"Under 15 years"	"15-"	"2019"	"2019"	"9th through 12th grade with no ""diploma"	"2"	12""
	"Alabama"	"01"	"Under 15 years"	"15-"	"2020"	"2020"	"8th grade or ""less"	"1"	38""
	"Alabama"	"01"	"Under 15 years"	"15-"	"2020"	"2020"	"9th through 12th grade with no ""diploma"	"2"	12""
	"Alabama"	"01"	"Under 15 years"	"15-"	"2021"	"2021"	"8th grade or ""less"	"1"	46""
	"Alabama"	"01"	"Under 15 years"	"15-"	"2021"	"2021"	"9th through 12th grade with no ""diploma"	"2"	12""
	"Alabama"	"01"	"Under 15 years"	"15-"	"2022"	"2022"	"8th grade or ""less"	"1"	33""
	"Alabama"	"01"	"Under 15 years"	"15-"	"2022"	"2022"	"9th through 12th grade with no ""diploma"	"2"	13""
	"Alabama"	"01"	"15 - 17 years"	"15-17"	"2016"	"2016"	"8th grade or ""less"	"1"	142""
	"Alabama"	"01"	"15 - 17 years"	"15-17"	"2016"	"2016"	"9th through 12th grade with no ""diploma"	"2"	953""
	"Alabama"	"01"	"15 - 17 years"	"15-17"	"2016"	"2016"	"High school graduate or GED ""completed"	"3"	123""
	"Alabama"	"01"	"15 - 17 years"	"15-17"	"2017"	"2017"	"8th grade or ""less"	"1"	116""
	"Alabama"	"01"	"15 - 17 years"	"15-17"	"2017"	"2017"	"9th through 12th grade with no ""diploma"	"2"	835""
	"Alabama"	"01"	"15 - 17 years"	"15-17"	"2017"	"2017"	"High school graduate or GED ""completed"	"3"	117""
	"Alabama"	"01"	"15 - 17 years"	"15-17"	"2018"	"2018"	"8th grade or ""less"	"1"	82""
	"Alabama"	"01"	"15 - 17 years"	"15-17"	"2018"	"2018"	"9th through 12th grade with no ""diploma"	"2"	797""
	"Alabama"	"01"	"15 - 17 years"	"15-17"	"2018"	"2018"	"High school graduate or GED ""completed"	"3"	92""
	"Alabama"	"01"	"15 - 17 years"	"15-17"	"2019"	"2019"	"8th grade or ""less"	"1"	98""
	"Alabama"	"01"	"15 - 17 years"	"15-17"	"2019"	"2019"	"9th through 12th grade with no ""diploma"	"2"	710""
	"Alabama"	"01"	"15 - 17 years"	"15-17"	"2019"	"2019"	"High school graduate or GED ""completed"	"3"	110""
	"Alabama"	"01"	"15 - 17 years"	"15-17"	"2020"	"2020"	"8th grade or ""less"	"1"	126""
	"Alabama"	"01"	"15 - 17 years"	"15-17"	"2020"	"2020"	"9th through 12th grade with no ""diploma"	"2"	698""
	"Alabama"	"01"	"15 - 17 years"	"15-17"	"2020"	"2020"	"High school graduate or GED ""completed"	"3"	99""
	"Alabama"	"01"	"15 - 17 years"	"15-17"	"2021"	"2021"	"8th grade or ""less"	"1"	132""
	"Alabama"	"01"	"15 - 17 years"	"15-17"	"2021"	"2021"	"9th through 12th grade with no ""diploma"	"2"	713""
	"Alabama"	"01"	"15 - 17 years"	"15-17"	"2021"	"2021"	"High school graduate or GED ""completed"	"3"	81""
	"Alabama"	"01"	"15 - 17 years"	"15-17"	"2022"	"2022"	"8th grade or ""less"	"1"	139""
	"Alabama"	"01"	"15 - 17 years"	"15-17"	"2022"	"2022"	"9th through 12th grade with no ""diploma"	"2"	661""
	"Alabama"	"01"	"15 - 17 years"	"15-17"	"2022"	"2022"	"High school graduate or GED ""completed"	"3"	96""
	"Alabama"	"01"	"18 - 19 years"	"18-19"	"2016"	"2016"	"8th grade or ""less"	"1"	122""
	"Alabama"	"01"	"18 - 19 years"	"18-19"	"2016"	"2016"	"9th through 12th grade with no ""diploma"	"2"	896""
	"Alabama"	"01"	"18 - 19 years"	"18-19"	"2016"	"2016"	"High school graduate or GED ""completed"	"3"	1790""
	"Alabama"	"01"	"18 - 19 years"	"18-19"	"2016"	"2016"	"Some college credit, but not a ""degree"	"4"	429""
	"Alabama"	"01"	"18 - 19 years"	"18-19"	"2017"	"2017"	"8th grade or ""less"	"1"	115""
	"Alabama"	"01"	"18 - 19 years"	"18-19"	"2017"	"2017"	"9th through 12th grade with no ""diploma"	"2"	877""
	"Alabama"	"01"	"18 - 19 years"	"18-19"	"2017"	"2017"	"High school graduate or GED ""completed"	"3"	1730""
	"Alabama"	"01"	"18 - 19 years"	"18-19"	"2017"	"2017"	"Some college credit, but not a ""degree"	"4"	411""
	"Alabama"	"01"	"18 - 19 years"	"18-19"	"2017"	"2017"	"Associate degree (AA, ""AS)"	"5"	16""
	"Alabama"	"01"	"18 - 19 years"	"18-19"	"2017"	"2017"	"Unknown or Not ""Stated"	"Unk"	15""
	"Alabama"	"01"	"18 - 19 years"	"18-19"	"2018"	"2018"	"8th grade or ""less"	"1"	109""
	"Alabama"	"01"	"18 - 19 years"	"18-19"	"2018"	"2018"	"9th through 12th grade with no ""diploma"	"2"	775""
	"Alabama"	"01"	"18 - 19 years"	"18-19"	"2018"	"2018"	"High school graduate or GED ""completed"	"3"	1654""
	"Alabama"	"01"	"18 - 19 years"	"18-19"	"2018"	"2018"	"Some college credit, but not a ""degree"	"4"	383""
	"Alabama"	"01"	"18 - 19 years"	"18-19"	"2018"	"2018"	"Associate degree (AA, ""AS)"	"5"	18""
	"Alabama"	"01"	"18 - 19 years"	"18-19"	"2019"	"2019"	"8th grade or ""less"	"1"	152""
	"Alabama"	"01"	"18 - 19 years"	"18-19"	"2019"	"2019"	"9th through 12th grade with no ""diploma"	"2"	756""
	"Alabama"	"01"	"18 - 19 years"	"18-19"	"2019"	"2019"	"High school graduate or GED ""completed"	"3"	1706""
	"Alabama"	"01"	"18 - 19 years"	"18-19"	"2019"	"2019"	"Some college credit, but not a ""degree"	"4"	396""
	"Alabama"	"01"	"18 - 19 years"	"18-19"	"2019"	"2019"	"Associate degree (AA, ""AS)"	"5"	17""
	"Alabama"	"01"	"18 - 19 years"	"18-19"	"2020"	"2020"	"8th grade or ""less"	"1"	159""
	"Alabama"	"01"	"18 - 19 years"	"18-19"	"2020"	"2020"	"9th through 12th grade with no ""diploma"	"2"	709""
	"Alabama"	"01"	"18 - 19 years"	"18-19"	"2020"	"2020"	"High school graduate or GED ""completed"	"3"	1677""
	"Alabama"	"01"	"18 - 19 years"	"18-19"	"2020"	"2020"	"Some college credit, but not a ""degree"	"4"	307""
	"Alabama"	"01"	"18 - 19 years"	"18-19"	"2021"	"2021"	"8th grade or ""less"	"1"	133""
	"Alabama"	"01"	"18 - 19 years"	"18-19"	"2021"	"2021"	"9th through 12th grade with no ""diploma"	"2"	695""
	"Alabama"	"01"	"18 - 19 years"	"18-19"	"2021"	"2021"	"High school graduate or GED ""completed"	"3"	1617""
	"Alabama"	"01"	"18 - 19 years"	"18-19"	"2021"	"2021"	"Some college credit, but not a ""degree"	"4"	248""
	"Alabama"	"01"	"18 - 19 years"	"18-19"	"2021"	"2021"	"Associate degree (AA, ""AS)"	"5"	13""
	"Alabama"	"01"	"18 - 19 years"	"18-19"	"2022"	"2022"	"8th grade or ""less"	"1"	168""
	"Alabama"	"01"	"18 - 19 years"	"18-19"	"2022"	"2022"	"9th through 12th grade with no ""diploma"	"2"	611""
	"Alabama"	"01"	"18 - 19 years"	"18-19"	"2022"	"2022"	"High school graduate or GED ""completed"	"3"	1536""
	"Alabama"	"01"	"18 - 19 years"	"18-19"	"2022"	"2022"	"Some college credit, but not a ""degree"	"4"	209""
	"Alabama"	"01"	"20-24 years"	"20-24"	"2016"	"2016"	"8th grade or ""less"	"1"	437""
	"Alabama"	"01"	"20-24 years"	"20-24"	"2016"	"2016"	"9th through 12th grade with no ""diploma"	"2"	2219""
	"Alabama"	"01"	"20-24 years"	"20-24"	"2016"	"2016"	"High school graduate or GED ""completed"	"3"	7264""
	"Alabama"	"01"	"20-24 years"	"20-24"	"2016"	"2016"	"Some college credit, but not a ""degree"	"4"	4633""
	"Alabama"	"01"	"20-24 years"	"20-24"	"2016"	"2016"	"Associate degree (AA, ""AS)"	"5"	796""
	"Alabama"	"01"	"20-24 years"	"20-24"	"2016"	"2016"	"Bachelor's degree (BA, AB, ""BS)"	"6"	648""
	"Alabama"	"01"	"20-24 years"	"20-24"	"2016"	"2016"	"Master's degree (MA, MS, MEng, MEd, MSW, ""MBA)"	"7"	30""
	"Alabama"	"01"	"20-24 years"	"20-24"	"2016"	"2016"	"Unknown or Not ""Stated"	"Unk"	37""
	"Alabama"	"01"	"20-24 years"	"20-24"	"2017"	"2017"	"8th grade or ""less"	"1"	404""
	"Alabama"	"01"	"20-24 years"	"20-24"	"2017"	"2017"	"9th through 12th grade with no ""diploma"	"2"	2064""
	"Alabama"	"01"	"20-24 years"	"20-24"	"2017"	"2017"	"High school graduate or GED ""completed"	"3"	7395""
	"Alabama"	"01"	"20-24 years"	"20-24"	"2017"	"2017"	"Some college credit, but not a ""degree"	"4"	4415""
	"Alabama"	"01"	"20-24 years"	"20-24"	"2017"	"2017"	"Associate degree (AA, ""AS)"	"5"	847""
	"Alabama"	"01"	"20-24 years"	"20-24"	"2017"	"2017"	"Bachelor's degree (BA, AB, ""BS)"	"6"	587""
	"Alabama"	"01"	"20-24 years"	"20-24"	"2017"	"2017"	"Master's degree (MA, MS, MEng, MEd, MSW, ""MBA)"	"7"	33""
	"Alabama"	"01"	"20-24 years"	"20-24"	"2017"	"2017"	"Unknown or Not ""Stated"	"Unk"	33""
	"Alabama"	"01"	"20-24 years"	"20-24"	"2018"	"2018"	"8th grade or ""less"	"1"	392""
	"Alabama"	"01"	"20-24 years"	"20-24"	"2018"	"2018"	"9th through 12th grade with no ""diploma"	"2"	1870""
	"Alabama"	"01"	"20-24 years"	"20-24"	"2018"	"2018"	"High school graduate or GED ""completed"	"3"	7264""
	"Alabama"	"01"	"20-24 years"	"20-24"	"2018"	"2018"	"Some college credit, but not a ""degree"	"4"	4103""
	"Alabama"	"01"	"20-24 years"	"20-24"	"2018"	"2018"	"Associate degree (AA, ""AS)"	"5"	901""
	"Alabama"	"01"	"20-24 years"	"20-24"	"2018"	"2018"	"Bachelor's degree (BA, AB, ""BS)"	"6"	651""
	"Alabama"	"01"	"20-24 years"	"20-24"	"2018"	"2018"	"Master's degree (MA, MS, MEng, MEd, MSW, ""MBA)"	"7"	54""
	"Alabama"	"01"	"20-24 years"	"20-24"	"2018"	"2018"	"Unknown or Not ""Stated"	"Unk"	28""
	"Alabama"	"01"	"20-24 years"	"20-24"	"2019"	"2019"	"8th grade or ""less"	"1"	523""
	"Alabama"	"01"	"20-24 years"	"20-24"	"2019"	"2019"	"9th through 12th grade with no ""diploma"	"2"	1747""
	"Alabama"	"01"	"20-24 years"	"20-24"	"2019"	"2019"	"High school graduate or GED ""completed"	"3"	7366""
	"Alabama"	"01"	"20-24 years"	"20-24"	"2019"	"2019"	"Some college credit, but not a ""degree"	"4"	4030""
